variant,algorithm,fold,rows,positives,pr_auc,roc_auc
Model A,Logistic Regression,1,2920,110,0.35141578721111716,0.8023455192494339
Model A,Random Forest,1,2920,110,0.10845928944066807,0.720506308637981
Model A,ANN,1,2920,110,0.24407112883340232,0.8101164671627306
Model A,Logistic Regression,2,2922,112,0.053232321464284874,0.6615086426029486
Model A,Random Forest,2,2922,112,0.06645782245495299,0.6866500381291307
Model A,ANN,2,2922,112,0.041698806655559764,0.5764838586680223
Model A,Logistic Regression,3,2964,129,0.28100499578810156,0.8757174302393941
Model A,Random Forest,3,2964,129,0.1861984679378953,0.881856090124824
Model A,ANN,3,2964,129,0.11086061130552607,0.7663371751227047
Model B,Logistic Regression,1,2920,110,0.35018121732643154,0.7913296667745067
Model B,Random Forest,1,2920,110,0.07672501911431467,0.7588612099644128
Model B,ANN,1,2920,110,0.3295100597435241,0.728809446780977
Model B,Logistic Regression,2,2922,112,0.11438604615976636,0.8575591001525165
Model B,Random Forest,2,2922,112,0.09203357276338935,0.7825908744280631
Model B,ANN,2,2922,112,0.1212768700599695,0.8593035078800204
Model B,Logistic Regression,3,2964,129,0.24007723329394334,0.8610092558412973
Model B,Random Forest,3,2964,129,0.1578472323935658,0.8582284018976525
Model B,ANN,3,2964,129,0.11795232470342754,0.7875093993957042
Model C,Logistic Regression,1,2920,110,0.3530596329214392,0.8027466839210611
Model C,Random Forest,1,2920,110,0.11785023666632467,0.7531818181818181
Model C,ANN,1,2920,110,0.39667439109838615,0.8165706890973795
Model C,Logistic Regression,2,2922,112,0.053591825055786184,0.6628622267412303
Model C,Random Forest,2,2922,112,0.062141471305120266,0.6319236146415862
Model C,ANN,2,2922,112,0.044993635201521845,0.6075686324351804
Model C,Logistic Regression,3,2964,129,0.21865536679298436,0.8718264222140192
Model C,Random Forest,3,2964,129,0.18550280729171864,0.8846109675567039
Model C,ANN,3,2964,129,0.1066342198552013,0.7776301218161684
Model D,Logistic Regression,1,1093,49,0.0791775338787569,0.6483892407537728
Model D,Random Forest,1,1093,49,0.058809486025338975,0.562416920791305
Model D,ANN,1,1093,49,0.09907998995427214,0.7130346391430136
Model D,Logistic Regression,2,1051,28,0.21982069470523458,0.9498673369641111
Model D,Random Forest,2,1051,28,0.19368759071889236,0.94065074710236
Model D,ANN,2,1051,28,0.02372449275660248,0.4511241446725318
Model D,Logistic Regression,3,1051,28,0.06506200833268311,0.6146487920681469
Model D,Random Forest,3,1051,28,0.16596414949969238,0.8966275659824046
Model D,ANN,3,1051,28,0.07389361718653296,0.4607945817623237
