sample_id,geographic_group_025deg,label,partition
1,139_296,0,train
2,139_296,0,train
3,139_296,0,train
4,139_296,0,train
5,139_296,0,train
6,139_296,0,train
7,139_296,0,train
8,139_296,0,train
9,139_296,0,train
10,139_296,0,train
11,139_296,0,train
12,139_296,0,train
13,139_296,0,train
14,139_296,0,train
15,139_296,0,train
16,139_296,0,train
17,139_296,0,train
18,139_296,0,train
19,139_296,0,train
20,139_296,0,train
21,139_296,0,train
22,139_296,0,train
23,140_296,0,test
24,140_296,0,test
25,140_296,0,test
26,140_296,0,test
27,140_296,0,test
28,140_296,0,test
29,140_296,0,test
30,140_296,0,test
31,140_296,0,test
32,140_296,0,test
33,140_296,0,test
34,140_296,0,test
35,140_296,0,test
36,140_296,0,test
37,140_296,0,test
38,140_296,0,test
39,140_296,0,test
40,140_296,0,test
41,140_296,0,test
42,140_296,0,test
43,140_296,0,test
44,139_297,0,test
45,139_297,0,test
46,139_297,0,test
47,139_297,0,test
48,139_297,0,test
49,139_297,0,test
50,139_297,0,test
51,139_297,0,test
52,139_297,0,test
53,139_297,0,test
54,139_297,0,test
55,139_297,0,test
56,139_297,0,test
57,139_296,0,train
58,139_297,0,test
59,139_297,0,test
60,139_297,0,test
61,140_297,0,validation
62,140_297,0,validation
63,140_297,0,validation
64,140_297,0,validation
65,140_297,0,validation
66,140_297,0,validation
67,140_297,0,validation
68,140_297,0,validation
69,140_297,0,validation
70,140_297,0,validation
71,140_297,0,validation
72,140_297,0,validation
73,139_297,0,test
74,139_297,0,test
75,139_297,0,test
76,139_297,0,test
77,139_297,0,test
78,139_297,0,test
79,139_297,0,test
80,139_297,0,test
81,139_297,0,test
82,139_297,0,test
83,139_298,0,train
84,139_298,0,train
85,139_298,0,train
86,139_298,0,train
87,139_298,0,train
88,139_298,0,train
89,139_298,0,train
90,139_298,0,train
91,139_298,0,train
92,139_298,0,train
93,139_298,0,train
94,139_298,0,train
95,139_298,0,train
96,139_298,0,train
97,139_298,0,train
98,139_298,0,train
99,139_298,0,train
100,139_298,0,train
101,139_298,0,train
102,139_298,0,train
103,139_298,0,train
104,139_298,0,train
105,139_298,0,train
106,139_298,0,train
107,139_298,0,train
108,139_298,0,train
109,139_298,0,train
110,139_298,0,train
111,139_298,0,train
112,139_298,0,train
113,139_298,0,train
114,139_298,0,train
115,139_298,0,train
116,139_298,0,train
117,139_298,0,train
118,139_298,0,train
119,139_298,0,train
120,139_298,0,train
121,139_298,0,train
122,139_298,0,train
123,139_298,0,train
124,139_298,0,train
125,139_298,0,train
126,139_298,0,train
127,140_298,0,train
128,140_298,0,train
129,140_298,0,train
130,140_298,0,train
131,140_297,0,validation
132,140_297,0,validation
133,140_297,0,validation
134,140_298,0,train
135,140_298,0,train
136,140_298,0,train
137,140_298,0,train
138,140_298,0,train
139,140_298,0,train
140,140_298,0,train
141,141_299,0,train
142,141_299,0,train
143,141_299,0,train
144,141_299,0,train
145,141_299,0,train
146,141_298,0,test
147,141_298,0,test
148,139_296,0,train
149,139_296,0,train
150,139_296,0,train
151,139_296,0,train
152,139_296,0,train
153,139_296,0,train
154,139_296,0,train
155,139_296,0,train
156,140_296,0,test
157,140_296,0,test
158,140_296,0,test
159,140_296,0,test
160,140_296,0,test
161,140_296,0,test
162,139_296,0,train
163,140_296,0,test
164,140_296,0,test
165,140_296,0,test
166,140_296,0,test
167,140_296,0,test
168,140_296,0,test
169,140_296,0,test
170,139_297,0,test
171,140_297,0,validation
172,140_297,0,validation
173,140_297,0,validation
174,141_297,0,validation
175,141_297,0,validation
176,141_297,0,validation
177,141_297,0,validation
178,141_297,0,validation
179,141_297,0,validation
180,141_297,0,validation
181,141_297,0,validation
182,140_297,0,validation
183,139_298,0,train
184,139_298,0,train
185,139_298,0,train
186,140_298,0,train
187,141_298,0,test
188,141_298,0,test
189,140_298,0,train
190,139_298,0,train
191,141_299,0,train
192,141_299,0,train
193,141_299,0,train
194,141_299,0,train
195,141_298,0,test
196,141_298,0,test
197,141_298,0,test
198,141_298,0,test
199,139_298,0,train
200,139_298,0,train
201,139_298,0,train
202,140_298,0,train
203,140_298,0,train
204,140_298,0,train
205,140_298,0,train
206,140_298,0,train
207,140_298,0,train
208,140_297,0,validation
209,139_297,0,test
210,145_288,0,test
211,145_288,0,test
212,145_288,0,test
213,145_288,0,test
214,145_288,0,test
215,145_288,0,test
216,145_288,0,test
217,145_288,0,test
218,145_288,0,test
219,145_288,0,test
220,145_288,0,test
221,145_288,0,test
222,145_288,0,test
223,145_287,0,train
224,145_287,0,train
225,145_288,0,test
226,145_288,0,test
227,145_288,0,test
228,145_288,0,test
229,145_288,0,test
230,145_288,0,test
231,145_288,0,test
232,145_288,0,test
233,145_288,0,test
234,145_288,0,test
235,145_288,0,test
236,145_288,0,test
237,145_287,0,train
238,145_287,0,train
239,145_287,0,train
240,145_287,0,train
241,145_287,0,train
242,145_287,0,train
243,145_287,0,train
244,145_287,0,train
245,145_287,0,train
246,145_287,0,train
247,145_287,0,train
248,145_287,0,train
249,145_287,0,train
250,145_287,0,train
251,145_287,0,train
252,145_287,0,train
253,145_287,0,train
254,145_287,0,train
255,145_287,0,train
256,145_287,0,train
257,145_287,0,train
258,145_287,0,train
259,145_287,0,train
260,145_287,0,train
261,145_287,0,train
