lake_id,latitude,longitude,baseline_susceptibility_score,baseline_susceptibility_level,missing_static_fields,interpretation,safety_notice
PKGL-00001,34.82899441,74.06189099,74.62,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00002,34.8200792,74.08633956,73.69,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00003,34.80645933,74.07199024,70.48,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00004,34.85749696,74.07676326,75.87,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00005,34.8611627,74.0782622,69.72,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00006,34.86212171,74.07709179,39.83,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00007,34.85647831,74.08737154,72.88,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00008,34.91214152,74.08900043,58.17,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00009,34.90983314,74.08982955,44.95,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00010,34.93985521,74.07301453,54.09,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00011,34.94211262,74.07006201,48.72,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00012,34.94943634,74.08106762,57.09,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00013,34.94963879,74.0840106,70.61,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00014,34.95436444,74.08687314,63.83,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00015,34.95673787,74.07401803,51.83,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00016,34.95714655,74.0756251,63.68,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00017,34.96223809,74.10030032,72.32,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00018,34.95900102,74.117285,74.7,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
