sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,nearest_settlement_name
1,0.950522098,74.06189099,34.82899441,TRUE,0.22,1.74,0,3681,9.746248206,Khawaja Seri
2,0.034728361,74.08633956,34.8200792,FALSE,-0.81,1.73,0,3663,7.396566333,Khawaja Seri
3,0.019693202,74.07199024,34.80645933,FALSE,-0.81,1.73,0,3656,7.619067405,Khawaja Seri
4,0.206074468,74.07676326,34.85749696,TRUE,-0.81,1.73,0,3680,8.773069878,Bakwali
5,0.021374535,74.0782622,34.8611627,FALSE,-0.81,1.73,0,3689,8.521194716,Bakwali
6,0.00073464,74.07709179,34.86212171,FALSE,-0.81,1.73,0,3686,8.595120518,Bakwali
7,0.019091254,74.08737154,34.85647831,FALSE,-0.81,1.73,0,3936,7.901621735,Bakwali
8,0.003892363,74.08900043,34.91214152,FALSE,-0.81,1.73,0,3283,7.924807206,Bakwali
9,0.001057498,74.08982955,34.90983314,FALSE,-0.81,1.73,0,3276,7.75183747,Bakwali
10,0.001867557,74.07301453,34.93985521,FALSE,-0.81,1.73,0,4098,10.75900553,Bakwali
11,0.00106368,74.07006201,34.94211262,FALSE,-0.81,1.73,0,4185,11.12463459,Bakwali
12,0.002289383,74.08106762,34.94943634,FALSE,-0.81,1.73,0,4155,10.87684925,Bakwali
13,0.014796554,74.0840106,34.94963879,FALSE,-0.81,1.73,0,4134,10.69859934,Bakwali
14,0.006490048,74.08687314,34.95436444,FALSE,-0.81,1.73,0,4067,10.89293288,Bakwali
15,0.002289994,74.07401803,34.95673787,FALSE,-0.81,1.73,0,3961,11.90194341,Bakwali
16,0.010953177,74.0756251,34.95714655,FALSE,-0.81,1.73,0,3959,11.82875029,Bakwali
17,0.300042567,74.10030032,34.96223809,TRUE,-0.81,1.73,0,3605,10.80791515,Bakwali
18,0.027935232,74.117285,34.95900102,FALSE,-0.81,1.73,0,4083,9.687008087,Bakwali
19,0.059931822,74.13008771,34.95656774,FALSE,-0.81,1.73,0,3799,8.937258331,Bakwali
20,0.198136871,74.13842658,34.94793356,TRUE,-0.81,1.73,0,4014,7.764924413,Bakwali
21,0.004052756,74.14108063,34.94333046,FALSE,-0.81,1.73,0,4017,7.201095509,Bakwali
22,0.196994664,74.1555706,34.9262382,TRUE,-0.81,1.73,0,3926,4.999537338,Bakwali
23,0.300729844,74.09028527,35.0178167,TRUE,-0.81,1.73,0,3893,14.08498945,Jalkhad
24,0.027285304,74.09652296,35.04198724,FALSE,-0.81,1.73,0,3977,15.24776439,Jalkhad
25,0.047214298,74.11421817,35.07012639,FALSE,-0.81,1.73,0,4196,15.78347612,Babusar
26,0.022111235,74.10483304,35.07308481,FALSE,-0.81,1.73,0,4027,15.16629452,Babusar
27,0.026123395,74.12869151,35.08034104,FALSE,-0.81,1.73,0,4173,15.32944139,Babusar
28,0.020752368,74.14808283,35.09140121,FALSE,-0.81,1.73,0,4316,15.25042701,Babusar
29,0.00715117,74.12440705,35.10436818,FALSE,-0.81,1.73,0,4186,12.83438179,Babusar
30,0.005218218,74.14455504,35.12115546,FALSE,-0.81,1.73,0,4261,12.52837313,Babusar
31,0.026402789,74.21879852,35.10494894,FALSE,-0.81,1.73,0,4404,15.15040654,Garul
32,0.002361446,74.21838499,35.10289113,FALSE,-0.81,1.73,0,4428,15.35575288,Garul
33,0.008699161,74.21697416,35.10045216,FALSE,-0.81,1.73,0,4448,15.649891,Garul
34,0.001741513,74.21504603,35.10080893,FALSE,-0.81,1.73,0,4442,15.72347695,Garul
35,0.00302369,74.19078405,35.09662396,FALSE,-0.81,1.73,0,4348,17.45808756,Babusar
36,0.026828355,74.19835689,35.08756943,FALSE,-0.81,1.73,0,4376,17.81693481,Garul
37,0.025998731,74.22515598,35.07046505,FALSE,-0.81,1.73,0,4408,18.06892257,Garul
38,0.016978644,74.22254699,35.062034,FALSE,-0.81,1.73,0,4398,19.00810079,Garul
39,0.028634279,74.18089311,35.03726559,FALSE,-0.81,1.73,0,4025,17.25527867,Bakwali
40,0.002439057,74.19138381,35.03883492,FALSE,-0.81,1.73,0,3824,17.51984206,Bakwali
41,0.023585798,74.14694608,35.04657285,FALSE,-0.81,1.73,0,4196,18.3506069,Bakwali
42,0.064902028,74.15042157,35.05089764,FALSE,-0.81,1.73,0,4200,18.79931199,Bakwali
43,0.001826209,74.14603749,35.04954782,FALSE,-0.81,1.73,0,4198,18.68830648,Bakwali
44,0.005803908,74.28289021,34.85935138,FALSE,-0.81,1.73,0,4050,7.236086542,Dogian
45,0.007400137,74.28176518,34.86384275,FALSE,-0.81,1.73,0,4216,7.456155241,Dogian
46,0.047286329,74.27045377,34.86481901,FALSE,-0.81,1.73,0,4067,6.799807483,Surgan Det
47,0.010192533,74.26972956,34.86807655,FALSE,-0.81,1.73,0,4130,6.699929967,Surgan Det
48,0.005545481,74.27258279,34.87107546,FALSE,-0.81,1.73,0,4269,6.945837801,Surgan Det
49,0.007220898,74.27250738,34.87339806,FALSE,-0.81,1.73,0,4306,6.939245751,Surgan Det
50,0.009669159,74.28104922,34.8773095,FALSE,-0.81,1.73,0,4099,7.73825404,Surgan Det
51,0.0183238,74.28734101,34.87807078,FALSE,-0.81,1.73,0,3993,7.579851891,Dogian
52,0.000550488,74.28819035,34.87775436,FALSE,-0.81,1.73,0,3998,7.494966507,Dogian
53,0.004585308,74.29165842,34.88089191,FALSE,-0.81,1.73,0,3895,7.397117714,Dogian
54,0.009992423,74.29315392,34.88257619,FALSE,-0.81,1.73,0,3888,7.38425158,Dogian
55,0.002713219,74.25739938,34.86961775,FALSE,-0.81,1.73,0,4157,5.566806447,Surgan Det
56,0.096159655,74.2501474,34.8738647,FALSE,-0.81,1.73,0,4039,4.901734048,Surgan Det
57,0.042144851,74.24740011,34.87954239,FALSE,-0.81,1.73,0,3950,4.719468404,Surgan Det
58,0.045135424,74.28595576,34.88968736,FALSE,-0.81,1.73,0,4155,8.374722925,Dogian
59,0.007744976,74.30421112,34.95925824,FALSE,-0.81,1.73,0,4187,7.99513079,
60,0.001519449,74.32756059,34.96456666,FALSE,-0.81,1.73,0,4163,6.055535179,
61,0.007531323,74.29220132,35.00268236,FALSE,-0.81,1.73,0,4189,10.85265084,
62,0.001324219,74.27956099,35.03218249,FALSE,-0.81,1.73,0,4443,13.79974539,
63,0.006262633,74.27051762,35.03424086,FALSE,-0.81,1.73,0,4211,14.56539954,
64,0.003331451,74.26216638,35.04384006,FALSE,-0.81,1.73,0,4313,15.84316908,
65,0.001460655,74.278914,35.05153027,FALSE,-0.81,1.73,0,4197,15.37913223,
66,0.007277967,74.27883909,35.0532169,FALSE,-0.81,1.73,0,4188,15.52444842,
67,0.003130972,74.29684743,35.05912433,FALSE,-0.81,1.73,0,4481,15.03417356,
68,0.002023044,74.26928218,35.06208345,FALSE,-0.81,1.73,0,3915,16.83924118,
69,0.001066896,74.26995854,35.09670217,FALSE,-0.81,1.73,0,4302,13.74126701,Garul
70,0.007291193,74.28735471,35.12268651,FALSE,-0.81,1.73,0,4543,10.50641489,Garul
71,0.079399207,74.3763953,35.1972932,FALSE,-0.81,1.73,0,4642,5.455672459,Garul
72,0.003027491,74.37392754,35.0128905,FALSE,-0.81,1.73,0,3864,7.379747336,
73,0.005580415,74.37697665,34.96838023,FALSE,-0.81,1.73,0,3404,2.596314229,
74,0.009904528,74.34220828,34.89789041,FALSE,-0.81,1.73,0,3967,6.043516829,Dogian
75,0.008394886,74.36179248,34.90302733,FALSE,-0.81,1.73,0,4135,4.739436427,Domel
76,0.006073095,74.30747407,34.86712201,FALSE,-0.81,1.73,0,4017,5.388776333,Dogian
77,0.00259134,74.27980466,34.86295733,FALSE,-0.81,1.73,0,4213,7.602972134,Dogian
78,0.000808335,74.26098517,34.86987802,FALSE,-0.81,1.73,0,4168,5.892223051,Surgan Det
79,0.021818263,74.44343641,34.87704871,FALSE,-0.81,1.73,0,3858,4.284730563,
80,0.016662246,74.44832788,34.88010748,FALSE,-0.81,1.73,0,3694,4.166317387,
81,0.001848374,74.46815361,34.8742305,FALSE,-0.81,1.73,0,3649,5.753365732,
82,0.004240915,74.46835404,34.87335603,FALSE,-0.81,1.73,0,3649,5.838440046,
83,0.754965753,74.5216406,34.91927913,TRUE,-0.81,1.73,0,4045,6.140383258,Upper Domail
84,0.005635789,74.52854645,34.91412366,FALSE,-0.81,1.73,0,4060,6.989341014,Upper Domail
85,0.045357093,74.54360491,34.91449218,FALSE,-0.81,1.73,0,4173,7.970873129,Upper Domail
86,0.217292385,74.52268361,34.84895856,TRUE,-0.81,1.73,0,4018,5.826725821,Jandar Seri
87,0.014106051,74.50773085,34.88268408,FALSE,-0.81,1.73,0,3583,7.822610699,Liam
88,0.029394611,74.57868324,34.92999291,FALSE,-0.81,1.73,0,4287,9.947020458,Upper Domail
89,0.007266541,74.58610155,34.87835345,FALSE,-0.81,1.73,0,3818,10.27537738,Phullawai
90,0.001072802,74.58712869,34.87732973,FALSE,-0.81,1.73,0,3812,10.18300578,Phullawai
91,0.010498989,74.58627554,34.88048022,FALSE,-0.81,1.73,0,3848,10.51036801,Phullawai
92,0.01635248,74.60211252,34.87199342,FALSE,-0.81,1.73,0,3564,9.955939918,Marnat
93,0.009063474,74.65902658,34.87000376,FALSE,-0.81,1.73,0,3567,11.11707008,Marnat
94,0.111364795,74.67585275,34.83949363,FALSE,-0.81,1.73,0,3868,9.373722898,Shundas
95,0.051222856,74.69584546,34.85904898,FALSE,-2.4,1.63,0,4033,12.03506391,Shundas
96,0.248067301,74.6801604,34.90818862,TRUE,-0.81,1.73,0,3865,15.7699659,Marnat
97,0.052792729,74.6612636,34.89459665,FALSE,-0.81,1.73,0,4202,13.65745088,Marnat
98,0.058166805,74.66334375,34.89914626,FALSE,-0.81,1.73,0,4283,14.19674561,Marnat
