id,name,place_type,latitude,longitude,population
58876734,Landi Kotal,town,34.1005274,71.1468496,33697
66319295,Ghakhar Mandi,town,32.3041655,74.1465014,
81842063,Adiala,town,33.4575233,72.9955939,
81844596,Khasala Khurd,village,33.4394795,72.9730008,
90529210,Kamra,village,33.8560901,72.3941358,3917
90542617,Pabbi,town,34.0091192,71.7972028,55255
90551000,Risalpur,town,34.0643513,71.9852312,36653
96043934,Kot Momin,town,32.1890095,73.0279985,
96043937,Bhera,town,32.4820009,72.9110524,
96046607,Kallar Kahar,town,32.7817846,72.6994097,
96897717,Saidpur,village,33.7424963,73.0692593,
104596678,Bhara Kahu,village,33.7380683,73.1854949,
114136447,Fateh Jang,town,33.5671184,72.6423442,
115969607,Misriot,village,33.5163423,72.9841716,
115972447,Khewra,town,32.6307377,73.0147091,
115979652,Pind Dadan Khan,town,32.5901971,73.0432545,
117488463,Murree,town,33.9056829,73.392674,25816
122360890,Chakri,village,33.2926861,72.7630289,
165089167,Pahalgam,town,34.0322048,75.3226479,9264
242111683,Chak Shahzad,village,33.6642585,73.1399976,
245773022,Manali,town,32.2454608,77.1872926,8000
245773039,Kangra,town,32.1031646,76.2723559,5000
245773120,Nurpur,town,32.2997393,75.8839627,10000
245773177,Dhar,village,32.4029,75.8167,
245773205,Hanse,village,32.4516141,77.861068,
245773310,Samba,town,32.5622412,75.1165585,11001
245773312,Dalhousie,town,32.5360472,75.9797487,1000
245773591,Domel,village,32.8849948,74.9577272,5000
245773671,Bhaderwah,town,32.9783699,75.7185638,11081
245773744,Reasi,town,33.0791771,74.8362947,7806
245773788,Nowshera,town,33.1575063,74.2403875,5122
245773857,Saria,village,33.2437,74.0426,
245773899,Kishtwar,town,33.3107908,75.7694213,14865
245773924,Rajouri,town,33.3772495,74.3132332,37552
245773925,Padum,town,33.4691405,76.8781759,25000
245773959,Chatru,village,33.4249921,75.6175308,
245774063,Tsazar,hamlet,33.5910626,77.0097114,
245774078,Kulgam,town,33.6446899,75.0188432,23584
245774100,Yordu,village,33.7055,75.6877,
245774223,Srigufwara,village,33.8158436,75.2134766,
245774323,Tral,town,33.926549,75.1140382,17844
245774328,Kakapora,town,33.9479845,74.9275781,
245774418,Badgam,town,34.0154721,74.7220085,15338
245774431,Tashidongze,hamlet,34.0085434,76.3877904,
245774455,Tangmarg,town,34.0582559,74.4227543,
245774476,Uri,town,34.0878536,74.0305568,9366
245774532,Aru,village,34.090295,75.2624386,
245774660,Sura Pharao,village,34.2159,75.0431,
245774712,Naidhal,village,34.2645105,74.60331,
245774767,Ganderbal,town,34.2163108,74.7695535,28233
245774770,Sopore,town,34.2869124,74.4625673,61098
245774824,Lamayuru,village,34.2827066,76.773959,
245774849,Teetwal,village,34.3942735,73.7740876,
245774950,Handwara,town,34.3993139,74.2827396,13600
245774959,Bandipora,town,34.4232433,74.635965,37081
245775009,Kuligam,village,34.5465733,74.4276188,
245775021,Kargil,town,34.5593048,76.1255767,
245775061,Chamshen,village,34.6740062,77.581974,
245775075,Sasoma,village,34.8898986,77.4799479,
248546565,Thalian,village,33.5402975,72.9104767,
248548512,Dhamial,village,33.5505849,73.0196743,
252157723,Havelian,town,34.0519127,73.153453,
253271394,‎Hasan Abdal,town,33.8218473,72.6873895,
253748829,Shahpur Saddar,town,32.2691358,72.4717312,20431
253748832,Jhawarian,town,32.3556214,72.6251351,33605
256824759,Topi,town,34.067924,72.6220803,52983
263383671,Barotha,village,33.7755028,72.250313,
263415398,Jhang,village,33.6748125,72.6963493,
263746839,Nurpur Shahan,village,33.7472709,73.1094023,
264987892,Rawat,town,33.4968449,73.1944282,
264990115,Tarnol,village,33.6509259,72.9104127,
264990284,Naughazi,village,33.6192741,72.8772409,
264990310,Dhok Minda,village,33.6112687,72.8620489,
264990506,Qutbal,village,33.5955414,72.7601679,
264990652,Garhi Hasu Khan,village,33.5892497,72.6855381,
264990909,Hattar,village,33.587498,72.7137442,
271755152,Panj,town,37.2422965,69.0947128,13492
271958121,Gulmit,town,36.3878939,74.862464,
271959710,Passu,village,36.4658158,74.8943261,
273657291,Galandhar,village,33.9900012,74.9251037,
274100046,Kaghan,village,34.7806262,73.5241551,
274771800,Chah Sultan,town,33.624451,73.0724306,
275201318,Karimabad,town,36.3270559,74.6593357,
275277859,Chilas,town,35.4195035,74.0963144,30000
275919143,Kahal Payin,village,33.9342423,72.9636884,
278062233,Dhok Girja,village,33.5616137,72.9810339,
279654090,Takht Bhai,town,34.2822021,71.9270436,80721
279776192,Drosh,town,35.5616271,71.797564,
279777458,Mastuj,town,36.2769677,72.5152762,
281435940,Jalalpur Jattan,town,32.6405862,74.2038635,
287412212,Losar,village,32.438246,77.7501296,
290494945,Bunji,town,35.6527032,74.6287283,
296317314,Darwesh,village,33.9910673,72.9168488,
