lake_id,observed_at,area_km2,cloud_percentage,clear_fraction,quality_status,source_image_id,water_index,source,is_mock,rejection_reason,ingested_at
PKGL-00001,2026-08-29T05:59:38.677000+00:00,,97.75,0.0225,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit,2026-08-31T16:20:08.985291+00:00
PKGL-00002,2026-08-29T05:59:38.677000+00:00,,90.972,0.0903,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit,2026-08-31T16:22:30.666302+00:00
PKGL-00003,2026-08-29T05:59:38.677000+00:00,,89.461,0.1054,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-08-31T16:22:35.122845+00:00
PKGL-00002,2026-08-27T05:59:21.230000+00:00,0.034425392689896285,21.862,0.7814,RELIABLE,20260827T054631_20260827T055705_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-08-31T16:25:45.676876+00:00
PKGL-00003,2026-08-27T05:59:21.230000+00:00,0.19374211153607512,33.906,0.6609,RELIABLE,20260827T054631_20260827T055705_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-08-31T16:25:49.610334+00:00
PKGL-03738,2026-08-29T05:59:20.583000+00:00,,3.714,0.9629,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:46:39.753405+00:00
PKGL-00995,2026-08-27T05:59:10.698000+00:00,0.03200116333111312,10.54,1.0,RELIABLE,20260827T054631_20260827T055705_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:46:45.264633+00:00
PKGL-04422,2026-08-29T05:49:06.714000+00:00,,7.512,0.9249,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:46:53.472650+00:00
PKGL-02691,2026-08-29T05:49:03.488000+00:00,,1.963,0.9993,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:47:02.772857+00:00
PKGL-08230,2026-08-29T05:59:42.535000+00:00,,50.449,0.9987,REJECTED,20260829T055251_20260829T055252_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:47:19.202903+00:00
PKGL-05516,2026-08-29T05:49:06.714000+00:00,,1.818,0.9818,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:47:27.342300+00:00
PKGL-02156,2026-08-29T05:49:03.488000+00:00,,1.963,1.0,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:47:36.842252+00:00
PKGL-06056,2026-08-22T05:58:54.831000+00:00,0.0016002135385142678,14.875,1.0,RELIABLE,20260822T054629_20260822T055602_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:47:42.355957+00:00
PKGL-04361,2026-08-29T05:49:06.714000+00:00,,16.007,0.8399,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:47:50.199162+00:00
PKGL-07012,2026-08-30T06:08:52.283000+00:00,,6.02,0.9701,REJECTED,20260830T055631_20260830T055743_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:48:09.332764+00:00
PKGL-04753,2026-08-29T05:59:24.419000+00:00,,9.098,0.9656,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:48:28.954731+00:00
PKGL-04284,2026-08-29T05:49:06.714000+00:00,,9.203,0.908,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:48:48.244176+00:00
PKGL-00443,2026-08-30T06:09:12.376000+00:00,,16.699,1.0,REJECTED,20260830T055631_20260830T055743_T42SYE,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:48:58.679166+00:00
PKGL-02404,2026-08-31T05:39:22.817000+00:00,,97.201,0.028,REJECTED,20260831T052641_20260831T053602_T43SFU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:49:16.218218+00:00
PKGL-06302,2026-08-29T05:48:52.285000+00:00,,12.612,1.0,REJECTED,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:49:24.190456+00:00
PKGL-07455,2026-08-29T05:49:21.340000+00:00,0.006404496674811931,5.047,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:49:27.448586+00:00
PKGL-07877,2026-08-29T05:59:28.143000+00:00,,93.209,0.0679,REJECTED,20260829T055251_20260829T055252_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:49:37.863772+00:00
PKGL-05715,2026-08-29T05:48:52.285000+00:00,0.005202749575656428,12.612,0.967,RELIABLE,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:49:42.084972+00:00
PKGL-07437,2026-08-29T05:49:21.340000+00:00,0.018813411595567292,5.047,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:49:45.881026+00:00
PKGL-04611,2026-08-29T05:49:06.714000+00:00,,1.417,0.995,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:49:53.941721+00:00
PKGL-06300,2026-08-29T05:48:52.285000+00:00,0.03641662201147949,12.612,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:49:57.683165+00:00
PKGL-00950,2026-08-27T05:59:10.698000+00:00,0.02279976770296695,10.54,0.8982,RELIABLE,20260827T054631_20260827T055705_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:50:02.103805+00:00
PKGL-07615,2026-08-29T05:49:21.340000+00:00,,5.047,1.0,REJECTED,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:50:10.544787+00:00
PKGL-00113,2026-08-29T05:59:38.677000+00:00,,100.0,0.0,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:50:28.831114+00:00
PKGL-04976,2026-08-29T05:59:20.583000+00:00,,10.196,0.898,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:50:51.461447+00:00
PKGL-08343,2026-08-29T05:49:06.714000+00:00,0.001601294107502882,1.417,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:50:57.066689+00:00
PKGL-08051,2026-08-29T05:59:38.677000+00:00,,32.495,0.9665,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:51:08.681873+00:00
PKGL-00202,2026-08-29T05:59:38.677000+00:00,,97.05,0.0295,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:51:29.261625+00:00
PKGL-03152,2026-08-29T05:49:03.488000+00:00,,4.984,0.9502,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:51:37.286800+00:00
