sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,annual_area_change_km2_per_year,growth_data_available,label_source,matched_event_id,matched_event_name,match_distance_km,matched_reference_row,label_method,label_provenance_status,geographic_group_025deg
1,0.950522098,74.06189099,34.82899441,1,0.22,1.74,0,3681,9.746248432251416,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,75.01676074383131,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
2,0.034728361,74.08633956,34.8200792,0,-0.81,1.73,0,3663,7.396566755187103,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,73.84776180602856,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
3,0.019693202,74.07199024,34.80645933,0,-0.81,1.73,0,3656,7.619067441375813,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,75.81618876467269,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
4,0.206074468,74.07676326,34.85749696,1,-0.81,1.73,0,3680,8.773069852484932,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,72.054896032183,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
5,0.021374535,74.0782622,34.8611627,0,-0.81,1.73,0,3689,8.521194594123237,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,71.70804680131333,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
6,0.00073464,74.07709179,34.86212171,0,-0.81,1.73,0,3686,8.595120836905345,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,71.73433942552178,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
7,0.019091254,74.08737154,34.85647831,0,-0.81,1.73,0,3936,7.901621595782387,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,71.3325447059171,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
8,0.003892363,74.08900043,34.91214152,0,-0.81,1.73,0,3283,7.924807057618405,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,67.76793938098993,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
9,0.001057498,74.08982955,34.90983314,0,-0.81,1.73,0,3276,7.75183749471955,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,67.83878886771119,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
10,0.001867557,74.07301453,34.93985521,0,-0.81,1.73,0,4098,10.7590052955818,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,67.47624927245573,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
11,0.00106368,74.07006201,34.94211262,0,-0.81,1.73,0,4185,11.124634468033548,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,67.59229061547158,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
12,0.002289383,74.08106762,34.94943634,0,-0.81,1.73,0,4155,10.8768498144707,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,66.32110717003346,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
