source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
1,1,PKGL-00001,PKGL-00001,1,34.82899441,74.06189099,0.950522098,3681.0,9.746248432251416,34.82899430032466,74.06189107692431,0.9505220978009999,62fb17cff9a44ae1d551457e5f9ba4783ba8b2e76e35cf4e2598240f3ea735fa,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
2,2,PKGL-00002,PKGL-00002,2,34.8200792,74.08633956,0.034728361,3663.0,7.396566755187103,34.8200791944225,74.08633956274251,0.0347283610939,9fdcc2cc19952e433f92ecf7e8d110a80200fe8092957d509c99e1fa5cfd5a1e,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
3,3,PKGL-00003,PKGL-00003,3,34.80645933,74.07199024,0.019693202,3656.0,7.619067441375813,34.806459328422065,74.07199023904448,0.0196932018505,d109dfb46d841e9607f659901b0638ddaac2b5d5da12938945893a5e58e15a67,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
4,4,PKGL-00004,PKGL-00004,4,34.85749696,74.07676326,0.206074468,3680.0,8.773069852484932,34.85749693591068,74.07676326759828,0.206074467866,cdf006cd962c2b9163db8a2504efb1fbb98775a4eeea90c7a4dfc4b10bafa713,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
5,5,PKGL-00005,PKGL-00005,5,34.8611627,74.0782622,0.021374535,3689.0,8.521194594123237,34.861162694877905,74.0782622005075,0.0213745346461,448d92d87d6067d6c075602f3acb0540c6f405846548a9d0740d92ee39a6decb,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
6,6,PKGL-00006,PKGL-00006,6,34.86212171,74.07709179,0.00073464,3686.0,8.595120836905345,34.86212170990045,74.07709179360383,0.000734640465025,174813ba254763825367b508c6993a6fc8a09b30c5b961935f4227582eb39639,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7,7,PKGL-00007,PKGL-00007,7,34.85647831,74.08737154,0.019091254,3936.0,7.901621595782387,34.85647830611798,74.08737154002095,0.0190912537528,b6ea041dc2104c47d22a9499a981bcbb6a4295829eda3a36481ab66965592bd3,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8,8,PKGL-00008,PKGL-00008,8,34.91214152,74.08900043,0.003892363,3283.0,7.924807057618405,34.91214151516067,74.0890004257997,0.00389236274648,c5a2f4557808c84a141731f5a360f74f98c2dc67d3b31ea8558b5fb03fa68911,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
9,9,PKGL-00009,PKGL-00009,9,34.90983314,74.08982955,0.001057498,3276.0,7.75183749471955,34.90983313787458,74.0898295492437,0.00105749811015,003351738d306c4149ef4141492eb80918a921b4970b324a5ee526e876e29bb3,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
10,10,PKGL-00010,PKGL-00010,10,34.93985521,74.07301453,0.001867557,4098.0,10.7590052955818,34.939855211264295,74.07301452816861,0.00186755681445,9a9dc7c16219a464600706f9f6fae6df7e583a775d1e9300ab0ecc97a1817917,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
11,11,PKGL-00011,PKGL-00011,11,34.94211262,74.07006201,0.00106368,4185.0,11.124634468033548,34.94211262201401,74.07006201026498,0.00106368024984,8d90fdbcda216ac9eb6c237afb73a74a6adc6b635f4e0c959bf24bf99e95c109,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
12,12,PKGL-00012,PKGL-00012,12,34.94943634,74.08106762,0.002289383,4155.0,10.8768498144707,34.94943633611689,74.08106762400921,0.00228938290036,f48ebe2ca2184479adcf56cfdf3308012ea253263e791b69f4972af0e97f2591,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
13,13,PKGL-00013,PKGL-00013,13,34.94963879,74.0840106,0.014796554,4134.0,10.698599441544925,34.94963879022464,74.08401060114838,0.0147965544422,87c31a59824fe209990e1639f54538bead05011011e51dd94d31082b620a1636,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
14,14,PKGL-00014,PKGL-00014,14,34.95436444,74.08687314,0.006490048,4067.0,10.89293322599642,34.95436443623929,74.0868731410199,0.006490047590729999,f33cf51bce0724ba5b5114c9bcfb5666f4e6c0258dd5f406fd6afc38d5f34d8c,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
15,15,PKGL-00015,PKGL-00015,15,34.95673787,74.07401803,0.002289994,3961.0,11.901943067474312,34.956737871313074,74.07401802634475,0.00228999415663,400f4ae8ca4faa3829a5852cfe1135a4fbdacf522a55d4542909649f28c152e8,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
16,16,PKGL-00016,PKGL-00016,16,34.95714655,74.0756251,0.010953177,3959.0,11.828750523061672,34.957146547035464,74.0756251008546,0.010953177477,3a027391c466696e09fe6fab048aa9d94fb431be5dc87ad124a2218f19e6f369,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
17,17,PKGL-00017,PKGL-00017,17,34.96223809,74.10030032,0.300042567,3605.0,10.807915410139437,34.96223804122145,74.10030037476457,0.30004256666,d439dd83cd0f008ed51a73affbc3288a5b3dfc86ac5c5e86fcc7c0c0a90e13ef,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
18,18,PKGL-00018,PKGL-00018,18,34.95900102,74.117285,0.027935232,4083.0,9.68700801113309,34.95900101921864,74.1172849985779,0.027935232291100003,20c073fcacb75927fd357053717165380b926fe9c53749a215b7a40c044b61e8,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
19,19,PKGL-00019,PKGL-00019,19,34.95656774,74.13008771,0.059931822,3799.0,8.937258633850922,34.95656773185412,74.13008770759697,0.0599318222514,b4305fe929865b4d4fdf8d7f9026135aa523f53048d8682391653ae24c1ee784,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
20,20,PKGL-00020,PKGL-00020,20,34.94793356,74.13842658,0.198136871,4014.0,7.7649240622901425,34.94793353069189,74.13842659596857,0.19813687113700001,7d76bab654e77faa7eaa685a13cc9b3c49fec4678b0863ceb2aba35fb6263244,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
21,21,PKGL-00021,PKGL-00021,21,34.94333046,74.14108063,0.004052756,4017.0,7.201095367745099,34.9433304605888,74.14108062945955,0.00405275571287,b3a98757ffde78659d57a8500c3f6b4c3002edc6059102d3c335543bf426448b,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
22,22,PKGL-00022,PKGL-00022,22,34.9262382,74.1555706,0.196994664,3926.0,4.999537423882604,34.92623818643231,74.15557059633694,0.196994663746,3fe8b759b4cdbecadc6f3930507a32ce6cb49ebf5437161739caa928eb9522b3,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
