source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
525,525,PKGL-00525,PKGL-00525,525,35.71399166,71.53233098,0.148855459,4484.0,13.094491971358837,35.71399166672821,71.53233095204938,0.148855459324,57ed248150d9aaeaeb85d148ca4617d9cf3562622eb1c75202acb2f898d4aadf,False,Self-intersection[186180.511276683 3957602.96438005],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
628,628,PKGL-00628,PKGL-00628,628,36.1515547,71.27460793,0.000627139,4570.0,8.317889191786543,36.15155470333001,71.27460793399555,0.000627138785201,45975c1a5a88fe852eb771bfcf08aa07814d9d949335c9953c07bae465ae1f90,False,Ring Self-intersection[164814.5264 4007184.2602],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
852,852,PKGL-00852,PKGL-00852,852,35.28757224,72.26306702,0.161762818,3837.0,10.049426260209016,35.2875722302468,72.26306701053144,0.161762818359,1c667b5efa1ae979913c5dca1d16eea4f4f683cc208351a2396861d63b1be27d,False,Self-intersection[251220.658436932 3908220.5643],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
885,885,PKGL-00885,PKGL-00885,885,35.33762704,72.40639206,0.011903903,3967.0,10.625841084446918,35.33762704002689,72.40639205603138,0.0119039032977,84545bb4e9ff896c7275ae224a8a9fb39e4c81e9ec2c8a5b235d90a13026b091,False,Self-intersection[264275.608729723 3913643.5266],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
891,891,PKGL-00891,PKGL-00891,891,35.34586543,72.53603362,0.176054767,3830.0,6.269331712381584,35.34586537569153,72.53603368481758,0.17605476731699998,d435158b3d3d7ec8c98745387be7ef6ff7ea4c7169447c6e201935bb651be3b3,False,Self-intersection[276003.643511469 3914590.27715932],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
892,892,PKGL-00892,PKGL-00892,892,35.34178536,72.46142057,0.061350331,3718.0,11.06070028058098,35.34178536876639,72.46142057566337,0.0613503312329,0c23f7155fbe83770d0f5b3822304311e56761ae62363ca6607d666c45e5d885,False,Self-intersection[269029.166658948 3914026.80085982],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
900,900,PKGL-00900,PKGL-00900,900,35.34997347,72.28887037,0.091273106,3497.0,12.324533584201886,35.349973470374316,72.28887037994748,0.09127310562230001,34b9b890aa79f78e7c60ad579b90d1910a08a41fb134cefb56dd280ae929964d,False,Self-intersection[253435.851117007 3915351.91449581],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
910,910,PKGL-00910,PKGL-00910,910,35.41899998,72.4330335,0.44928143,3018.0,8.010349280160437,35.418999898751615,72.4330335339705,0.449281429836,cc3d9c6dd0b29d93acb89db4fbb44dd547ca2ed38d78c3d10355f805de454693,False,Self-intersection[266646.295610042 3923052.8082],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
921,921,PKGL-00921,PKGL-00921,921,35.64580522,72.51210897,0.299158122,3349.0,10.113158215117275,35.64580518424708,72.51210903259118,0.299158122125,5dd3dd94e175a1f43e8c8c26a2c6bfa780de79c2cf652041c395f29cc7944157,False,Self-intersection[274603.80769287 3948007.50240173],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
929,929,PKGL-00929,PKGL-00929,929,35.83354126,72.64258863,0.233739627,4515.0,25.493027912344488,35.83354126980644,72.64258859326998,0.233739626863,e00786727c51b82fbab6d927e9be4d6a497db1a1e263a567f606a8e573e6eeff,False,Self-intersection[287178.589732885 3968063.67866711],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
930,930,PKGL-00930,PKGL-00930,930,35.8281132,72.63540474,0.020401378,4564.0,25.018411491438822,35.82811320152616,72.63540473942852,0.0204013782201,bc8be59880037621b241432a51e89c2dd0486854f226aba833439ae393d78108,False,Self-intersection[286422.753042965 3967559.58971355],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
958,958,PKGL-00958,PKGL-00958,958,36.08226534,72.55363069,0.018601087,3689.0,7.963449957032903,36.08226534004849,72.55363069232774,0.0186010866132,6089f664c9d1f7f425ecf88b2b92715db1700ae989572e5b17b0b1c3d0370d37,False,Self-intersection[279614.467 3995905.9381],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
962,962,PKGL-00962,PKGL-00962,962,35.64856404,73.06172219,0.030727851,4200.0,21.175444462857257,35.64856404172479,73.06172219880396,0.0307278509536,1690ba8eb17350047b4c1012bdc314ad02b1fcb3ca865f0dae0f8a9df02dca3a,False,Self-intersection[324369.558571394 3946793.89142645],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
965,965,PKGL-00965,PKGL-00965,965,35.63152573,73.10306227,0.049078472,4001.0,18.53481256218924,35.631525727484,73.10306227250112,0.0490784723391,bd330cbbc3488d93d4482b2479537945d6a4db2436033ba6c1f110961e7a85e5,False,Self-intersection[328150.951809634 3944897.75331957],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
