pilot_order,lake_id,source_polygon_id,latitude,longitude,elevation_m,reference_area_km2,latitude_band,longitude_band,elevation_band,area_band,pilot_stratum,stratum_population,stratum_pilot_count,expansion_weight,selection_seed
1,PKGL-03738,3738,36.09780557,75.24161523,4013.0,0.000941731,NORTH,CENTRAL,LOW,MEDIUM,NORTH|CENTRAL|LOW|MEDIUM,432,3,144.0,20260901
2,PKGL-00995,995,35.66439412,73.15605499,3683.0,0.005400056,CENTRAL,WEST,LOW,LARGE,CENTRAL|WEST|LOW|LARGE,63,1,63.0,20260901
3,PKGL-04422,4422,35.84030757,75.7828623,3972.0,0.000176835,CENTRAL,EAST,LOW,SMALL,CENTRAL|EAST|LOW|SMALL,330,2,165.0,20260901
4,PKGL-02691,2691,35.23827707,77.10534881,4235.0,0.000616181,SOUTH,EAST,MEDIUM,SMALL,SOUTH|EAST|MEDIUM|SMALL,47,1,47.0,20260901
5,PKGL-08230,8232,35.15043168,73.76458893,3166.0,0.000487575,SOUTH,WEST,LOW,SMALL,SOUTH|WEST|LOW|SMALL,38,1,38.0,20260901
6,PKGL-05516,5516,35.86544519,75.96212799,3866.0,0.000719812,CENTRAL,EAST,LOW,SMALL,CENTRAL|EAST|LOW|SMALL,330,2,165.0,20260901
7,PKGL-02156,2156,35.38854587,76.64322319,3511.0,0.002773487,SOUTH,EAST,LOW,MEDIUM,SOUTH|EAST|LOW|MEDIUM,54,1,54.0,20260901
8,PKGL-06056,6056,36.8735406,73.72134794,4338.0,0.001451548,NORTH,WEST,MEDIUM,MEDIUM,NORTH|WEST|MEDIUM|MEDIUM,62,1,62.0,20260901
9,PKGL-04361,4361,35.70263427,75.90803724,3173.0,0.001175971,CENTRAL,EAST,LOW,MEDIUM,CENTRAL|EAST|LOW|MEDIUM,300,2,150.0,20260901
10,PKGL-07012,7014,36.6098519,73.03969422,3902.0,0.000224981,NORTH,WEST,LOW,SMALL,NORTH|WEST|LOW|SMALL,116,1,116.0,20260901
11,PKGL-04753,4753,36.00928562,75.0655141,4204.0,0.000740918,CENTRAL,CENTRAL,MEDIUM,SMALL,CENTRAL|CENTRAL|MEDIUM|SMALL,47,1,47.0,20260901
12,PKGL-04284,4284,35.77572687,76.12374717,4650.0,0.000743929,CENTRAL,EAST,HIGH,SMALL,CENTRAL|EAST|HIGH|SMALL,81,1,81.0,20260901
13,PKGL-00443,443,35.97514121,71.35609947,4429.0,0.002518604,CENTRAL,WEST,HIGH,MEDIUM,CENTRAL|WEST|HIGH|MEDIUM,122,1,122.0,20260901
14,PKGL-02404,2404,34.70407212,77.07198862,5164.0,0.00098403,SOUTH,EAST,HIGH,MEDIUM,SOUTH|EAST|HIGH|MEDIUM,272,2,136.0,20260901
15,PKGL-06302,6302,36.26761147,75.82110789,4049.0,0.008846983,NORTH,EAST,MEDIUM,LARGE,NORTH|EAST|MEDIUM|LARGE,7,1,7.0,20260901
16,PKGL-07455,7457,34.75365742,76.03755873,4289.0,0.024032757,SOUTH,EAST,MEDIUM,LARGE,SOUTH|EAST|MEDIUM|LARGE,7,1,7.0,20260901
17,PKGL-07877,7879,35.36607316,73.42282204,4410.0,0.040503525,SOUTH,WEST,HIGH,LARGE,SOUTH|WEST|HIGH|LARGE,49,1,49.0,20260901
18,PKGL-05715,5715,36.33348574,75.47989493,3594.0,0.000862333,NORTH,CENTRAL,LOW,SMALL,NORTH|CENTRAL|LOW|SMALL,567,5,113.4,20260901
19,PKGL-07437,7439,34.87493002,75.94732644,4677.0,0.016928789,SOUTH,EAST,HIGH,LARGE,SOUTH|EAST|HIGH|LARGE,414,3,138.0,20260901
20,PKGL-04611,4611,35.84402496,75.73200321,4041.0,0.000507044,CENTRAL,EAST,MEDIUM,SMALL,CENTRAL|EAST|MEDIUM|SMALL,282,2,141.0,20260901
21,PKGL-06300,6300,36.27289823,75.81161804,4010.0,0.061531577,NORTH,EAST,LOW,LARGE,NORTH|EAST|LOW|LARGE,1,1,1.0,20260901
