Lake_name,Glacier_name,Lat_lake,Lon_lake,Province
Unknown,Biafo,35.687,75.907,Gilgit - Baltistan
Unknown,Yashkuk-Yaz,36.824,74.369,Gilgit - Baltistan
Karambar ,Karambar ,36.6214,74.07906,Gilgit - Baltistan
Unknown,Tarshing,35.232,74.722,Gilgit - Baltistan
Unknown,Unnamed,35.668,75.378,Gilgit - Baltistan
Sokhter Rabot ,Unnamed,36.7946,73.99494,Gilgit - Baltistan
Unknown,Batura,36.510556,74.850591,Gilgit - Baltistan
Khurdopin ,Khurdopin ,36.344239,75.474953,Gilgit - Baltistan
Unknown,Diran,36.069195,74.620675,Gilgit - Baltistan
Unknown,Bualtar,36.176,74.761,Gilgit - Baltistan
Hassanabad,Hassanabad,36.390545,74.50831,Gilgit - Baltistan
Unnamed,Dubani,35.93,74.609,Gilgit - Baltistan
Warghut ,Unnamed,36.746817,74.002922,Gilgit - Baltistan
Unknown,Gutumi,36.013093,74.606801,Gilgit - Baltistan
Unknown,Gurpi,36.32925,74.739283,Gilgit - Baltistan
Saklei Shuyinj,Unnamed,36.841689,73.833068,Gilgit - Baltistan
Chilinji,Chilinji,36.773776,74.013631,Gilgit - Baltistan
Unknown,Koz-Yaz,36.818,74.158,Gilgit - Baltistan
Unknown,Kutiah,35.768,75.064,Gilgit - Baltistan
Chateboi,Chateboi,36.84573,73.89904,Gilgit - Baltistan
Unknown,Unna,36.039,74.633,Gilgit - Baltistan
Unknown,Balt Bare,36.338551,74.931346,Gilgit - Baltistan
Darkot,Darkot/Barados,36.769863,73.356628,Khyber Pakhtunkhwa
Unnamed,Hinarchi,36.042964,74.570562,Gilgit - Baltistan
Unnamed,Unnamed,36.119902,73.422475,Gilgit - Baltistan
Ghulkin ,Ghulkin ,36.420236,74.879432,Gilgit - Baltistan
Unknown,Lokpar/Aling,35.497,76.271,Gilgit - Baltistan
Unnamed,Unknown,36.0372,73.1932,Gilgit - Baltistan
Sosot,Sosot,36.027,73.196,Gilgit - Baltistan
Khalti,Unnamed,36.188,73.359,Gilgit - Baltistan
Unnamed,Unnamed,36.608,73.881,Gilgit - Baltistan
Brep,Brep,36.384,72.706,Khyber Pakhtunkhwa
Unknown,Sonoghore,36.226,72.416,Khyber Pakhtunkhwa
Ghulkin,Ghulkin,36.420236,74.858404,Gilgit - Baltistan
Passu,Passu,36.457073,74.879432,Gilgit - Baltistan
Bindo Gol,Bindo,36.174,71.898,Khyber Pakhtunkhwa
Unknown,Booni Gol,36.194,72.3,Khyber Pakhtunkhwa
Unknown,Hundur,36.546,73.353,Gilgit - Baltistan
Unknown,Gargoh,35.997077,74.665676,Gilgit - Baltistan
Unknown,Unnamed,36.22,71.775,Khyber Pakhtunkhwa
Badswat ,Unnamed,36.505,74.06,Gilgit - Baltistan
Shisper ,Hassanabad I,36.35594,74.572267,Gilgit - Baltistan
Rogheli,Rogheli,35.853,71.968,Khyber Pakhtunkhwa
Unnamed,Unnamed,35.827314,72.122001,Khyber Pakhtunkhwa
Unnamed,Unnamed,35.652003,73.204706,Khyber Pakhtunkhwa
Unnamed,Unnamed,36.61,73.9,Gilgit - Baltistan
Yarkhun,Yarkhun,36.85265,73.02295,Khyber Pakhtunkhwa
Unnamed,Unknown,36.326525,73.685255,Gilgit - Baltistan
Ghulkin,Ghulkin,36.416574,74.874775,Gilgit - Baltistan
Dih,Unnamed,36.809967,75.114381,Gilgit - Baltistan
Shahzore,Shahzore,35.780972,72.175989,Khyber Pakhtunkhwa
Unnamed,Unnamed,35.84726,72.38435,Khyber Pakhtunkhwa
Unknown,Unnamed,36.169618,73.606893,Gilgit - Baltistan
